id,lon,lat,location,area,type,outcome
1,-1.61008900,54.88823700,On or near Askrigg Close,County Durham 002D,Criminal damage and arson,Investigation complete; no suspect identified
2,-1.50858000,54.85052200,On or near Sports/Recreation Area,County Durham 015A,Criminal damage and arson,Investigation complete; no suspect identified
3,-1.75209800,54.97068200,On or near Runhead Estate,Gateshead 001A,Criminal damage and arson,Investigation complete; no suspect identified
4,-1.75232700,54.96642300,On or near Conway Close,Gateshead 001C,Criminal damage and arson,Under investigation
5,-1.73584900,54.97113300,On or near Stella Bank,Gateshead 001C,Criminal damage and arson,Investigation complete; no suspect identified
6,-1.75049000,54.97304200,On or near Holburn Crescent,Gateshead 001D,Criminal damage and arson,Investigation complete; no suspect identified
7,-1.76631400,54.97584100,On or near Cypress Grove,Gateshead 001E,Criminal damage and arson,Investigation complete; no suspect identified
8,-1.76532900,54.97609000,On or near Ryton Hall Drive,Gateshead 001E,Criminal damage and arson,Under investigation
9,-1.76191500,54.97479900,On or near Whitewell Lane,Gateshead 001E,Criminal damage and arson,Investigation complete; no suspect identified
10,-1.78078800,54.96889400,On or near Meadowfield Crescent,Gateshead 002F,Criminal damage and arson,Investigation complete; no suspect identified
11,-1.77396500,54.97098500,On or near Reasby Gardens,Gateshead 002F,Criminal damage and arson,Investigation complete; no suspect identified
12,-1.58386000,54.95862100,On or near Sanderson Villas,Gateshead 003A,Criminal damage and arson,Investigation complete; no suspect identified
13,-1.57053100,54.95353400,On or near Helmsdale Avenue,Gateshead 003B,Criminal damage and arson,Investigation complete; no suspect identified
14,-1.56975100,54.94912800,On or near Supermarket,Gateshead 003B,Criminal damage and arson,Investigation complete; no suspect identified
15,-1.56653900,54.95163200,On or near Sunderland Road,Gateshead 003B,Criminal damage and arson,Investigation complete; no suspect identified
16,-1.53753600,54.95783400,On or near Brack Terrace,Gateshead 003C,Criminal damage and arson,Investigation complete; no suspect identified
17,-1.54078600,54.95355100,On or near Lyons Court,Gateshead 003D,Criminal damage and arson,Investigation complete; no suspect identified
18,-1.54078600,54.95355100,On or near Lyons Court,Gateshead 003D,Criminal damage and arson,Under investigation
19,-1.54739100,54.95353100,On or near Salisbury Street,Gateshead 003D,Criminal damage and arson,Investigation complete; no suspect identified
20,-1.54078600,54.95355100,On or near Lyons Court,Gateshead 003D,Criminal damage and arson,Under investigation
21,-1.71615100,54.95787800,On or near Robinsons Drive,Gateshead 004A,Criminal damage and arson,Investigation complete; no suspect identified
22,-1.72230200,54.95814400,On or near River View,Gateshead 004B,Criminal damage and arson,Investigation complete; no suspect identified
23,-1.72230200,54.95814400,On or near River View,Gateshead 004B,Criminal damage and arson,Investigation complete; no suspect identified
24,-1.71295600,54.95690900,On or near Whitewell Road,Gateshead 004C,Criminal damage and arson,Under investigation
25,-1.71399100,54.95630100,On or near Rockmore Road,Gateshead 004C,Criminal damage and arson,Under investigation
26,-1.72306800,54.94882700,On or near Hawesdale Crescent,Gateshead 004D,Criminal damage and arson,Awaiting court outcome
